experiment_id,scenario,mechanism,status,sample_dir,source_run,rounds,duration_seconds,started_at,ended_at,issue_type,last_observed,next_action,config,runner,notes,quality_status,quality_reason,analysis_status,analysis_missing_items
AsianFinancialCrisis__RuleLLM,AsianFinancialCrisis,RuleLLM,runtime_success_full_200_level2_audited,samples/AsianFinancialCrisis/RuleLLM,samples/AsianFinancialCrisis/RuleLLM,configured_full,3130.181,2026-05-23T17:24:59,2026-05-23T18:17:09,,,,samples/AsianFinancialCrisis/RuleLLM/config/simulation.yml,examples/AsianFinancialCrisis/RuleLLM/run_asianfinancialcrisis_rulellm.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
AsianFinancialCrisis__Rag,AsianFinancialCrisis,Rag,runtime_success_full_200_level2_audited,samples/AsianFinancialCrisis/Rag,samples/AsianFinancialCrisis/Rag,configured_full,3200.216,2026-05-23T01:27:39,2026-05-23T02:20:59,,,,samples/AsianFinancialCrisis/Rag/config/simulation.yml,examples/AsianFinancialCrisis/Rag/run_asianfinancialcrisis_rag.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
AssetBubble__Rule,AssetBubble,Rule,runtime_success_full_200_level2_audited,samples/AssetBubble/Rule,samples/AssetBubble/Rule,configured_full,80.004,2026-05-22T03:45:00,2026-05-22T03:46:20,,,,samples/AssetBubble/Rule/config/simulation.yml,examples/AssetBubble/Rule/run_bubble.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
AssetBubble__LLM,AssetBubble,LLM,runtime_success_full_200_level2_audited,samples/AssetBubble/LLM,samples/AssetBubble/LLM,configured_full,18870.997,2026-05-22T07:39:34,2026-05-22T12:54:05,,,,samples/AssetBubble/LLM/config/simulation.yml,examples/AssetBubble/LLM/run_bubble_llm.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
AssetBubble__RuleLLM,AssetBubble,RuleLLM,runtime_success_full_200_level2_audited,samples/AssetBubble/RuleLLM,samples/AssetBubble/RuleLLM,configured_full,30781.708,2026-05-22T09:30:17,2026-05-22T18:03:19,,,,samples/AssetBubble/RuleLLM/config/simulation.yml,examples/AssetBubble/RuleLLM/run_bubble_rulellm.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
AssetBubble__Rag,AssetBubble,Rag,runtime_success_full_200_level2_audited,samples/AssetBubble/Rag,samples/AssetBubble/Rag,configured_full,36482.073,2026-05-22T09:41:40,2026-05-22T19:49:42,,,,samples/AssetBubble/Rag/config/simulation.yml,examples/AssetBubble/Rag/run_bubble_ragllm.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
AvailabilityBias__Rule,AvailabilityBias,Rule,runtime_success_full_200_level2_audited,samples/AvailabilityBias/Rule,samples/AvailabilityBias/Rule,configured_full,40.003,2026-05-22T03:46:20,2026-05-22T03:47:00,,,,samples/AvailabilityBias/Rule/config/simulation.yml,examples/AvailabilityBias/Rule/run_availabilitybias.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
AvailabilityBias__LLM,AvailabilityBias,LLM,runtime_success_full_200_level2_audited,samples/AvailabilityBias/LLM,samples/AvailabilityBias/LLM,configured_full,7970.46,2026-05-22T12:54:05,2026-05-22T15:06:56,,,,samples/AvailabilityBias/LLM/config/simulation.yml,examples/AvailabilityBias/LLM/run_availabilitybias_llm.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
AvailabilityBias__RuleLLM,AvailabilityBias,RuleLLM,runtime_success_full_200_level2_audited,samples/AvailabilityBias/RuleLLM,samples/AvailabilityBias/RuleLLM,configured_full,24481.426,2026-05-23T18:17:19,2026-05-24T01:05:21,,,,samples/AvailabilityBias/RuleLLM/config/simulation.yml,examples/AvailabilityBias/RuleLLM/run_availabilitybias_rulellm.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
AvailabilityBias__Rag,AvailabilityBias,Rag,runtime_success_full_200_level2_audited,samples/AvailabilityBias/Rag,samples/AvailabilityBias/Rag,configured_full,5270.391,2026-05-23T01:30:40,2026-05-23T02:58:30,,,,samples/AvailabilityBias/Rag/config/simulation.yml,examples/AvailabilityBias/Rag/run_availabilitybias_rag.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
BlackMonday1987__Rule,BlackMonday1987,Rule,runtime_success_full_200_level2_audited,samples/BlackMonday1987/Rule,samples/BlackMonday1987/Rule,configured_full,40.003,2026-05-22T03:47:00,2026-05-22T03:47:40,,,,samples/BlackMonday1987/Rule/config/simulation.yml,examples/BlackMonday1987/Rule/run_blackmonday1987.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
BlackMonday1987__LLM,BlackMonday1987,LLM,runtime_success_full_200_level2_audited,samples/BlackMonday1987/LLM,samples/BlackMonday1987/LLM,configured_full,6070.33,2026-05-23T16:20:17,2026-05-23T18:01:27,,,,samples/BlackMonday1987/LLM/config/simulation.yml,examples/BlackMonday1987/LLM/run_blackmonday1987_llm.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
BlackMonday1987__RuleLLM,BlackMonday1987,RuleLLM,runtime_success_full_200_level2_audited,samples/BlackMonday1987/RuleLLM,samples/BlackMonday1987/RuleLLM,configured_full,5250.296,2026-05-23T18:01:37,2026-05-23T19:29:08,,,,samples/BlackMonday1987/RuleLLM/config/simulation.yml,examples/BlackMonday1987/RuleLLM/run_blackmonday1987_rulellm.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
BlackMonday1987__Rag,BlackMonday1987,Rag,runtime_success_full_200_level2_audited,samples/BlackMonday1987/Rag,samples/BlackMonday1987/Rag,configured_full,4670.365,2026-05-23T01:27:41,2026-05-23T02:45:31,,,,samples/BlackMonday1987/Rag/config/simulation.yml,examples/BlackMonday1987/Rag/run_blackmonday1987_rag.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
CarryTradeUnwind__Rule,CarryTradeUnwind,Rule,runtime_success_full_200_level2_audited,samples/CarryTradeUnwind/Rule,samples/CarryTradeUnwind/Rule,configured_full,40.003,2026-05-22T03:47:40,2026-05-22T03:48:20,,,,samples/CarryTradeUnwind/Rule/config/simulation.yml,examples/CarryTradeUnwind/Rule/run_carrytradeunwind_rule.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
CarryTradeUnwind__LLM,CarryTradeUnwind,LLM,runtime_success_full_200_level2_audited,samples/CarryTradeUnwind/LLM,samples/CarryTradeUnwind/LLM,configured_full,4080.299,2026-05-23T01:11:52,2026-05-23T02:19:52,,,,samples/CarryTradeUnwind/LLM/config/simulation.yml,examples/CarryTradeUnwind/LLM/run_carrytradeunwind_llm.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
CarryTradeUnwind__RuleLLM,CarryTradeUnwind,RuleLLM,runtime_success_full_200_level2_audited,samples/CarryTradeUnwind/RuleLLM,samples/CarryTradeUnwind/RuleLLM,configured_full,12720.758,2026-05-23T19:29:18,2026-05-23T23:01:18,,,,samples/CarryTradeUnwind/RuleLLM/config/simulation.yml,examples/CarryTradeUnwind/RuleLLM/run_carrytradeunwind_rulellm.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
CarryTradeUnwind__Rag,CarryTradeUnwind,Rag,runtime_success_full_200_level2_audited,samples/CarryTradeUnwind/Rag,samples/CarryTradeUnwind/Rag,configured_full,11810.698,2026-05-23T18:15:45,2026-05-23T21:32:36,,,,samples/CarryTradeUnwind/Rag/config/simulation.yml,examples/CarryTradeUnwind/Rag/run_carrytradeunwind_rag.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
ConfirmationBias__Rule,ConfirmationBias,Rule,runtime_success_full_200_level2_audited,samples/ConfirmationBias/Rule,samples/ConfirmationBias/Rule,configured_full,40.003,2026-05-22T03:48:20,2026-05-22T03:49:00,,,,samples/ConfirmationBias/Rule/config/simulation.yml,examples/ConfirmationBias/Rule/run_confirmationbias_rule.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
ConfirmationBias__LLM,ConfirmationBias,LLM,runtime_success_full_200_level2_audited,samples/ConfirmationBias/LLM,samples/ConfirmationBias/LLM,configured_full,4870.285,2026-05-22T15:47:06,2026-05-22T17:08:16,,,,samples/ConfirmationBias/LLM/config/simulation.yml,examples/ConfirmationBias/LLM/run_confirmationbias_llm.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
ConfirmationBias__RuleLLM,ConfirmationBias,RuleLLM,runtime_success_full_200_level2_audited,samples/ConfirmationBias/RuleLLM,samples/ConfirmationBias/RuleLLM,configured_full,10420.83,2026-05-23T16:18:48,2026-05-23T19:12:29,,,,samples/ConfirmationBias/RuleLLM/config/simulation.yml,examples/ConfirmationBias/RuleLLM/run_confirmationbias_rulellm.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
ConfirmationBias__Rag,ConfirmationBias,Rag,runtime_success_full_200_level2_audited,samples/ConfirmationBias/Rag,samples/ConfirmationBias/Rag,configured_full,6650.511,2026-05-23T20:58:47,2026-05-23T22:49:37,,,,samples/ConfirmationBias/Rag/config/simulation.yml,examples/ConfirmationBias/Rag/run_confirmationbias_rag.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
CreditCycle__Rule,CreditCycle,Rule,runtime_success_full_200_level2_audited,samples/CreditCycle/Rule,samples/CreditCycle/Rule,configured_full,40.003,2026-05-22T03:49:00,2026-05-22T03:49:40,,,,samples/CreditCycle/Rule/config/simulation.yml,examples/CreditCycle/Rule/run_creditcycle.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
CreditCycle__LLM,CreditCycle,LLM,runtime_success_full_200_level2_audited,samples/CreditCycle/LLM,samples/CreditCycle/LLM,configured_full,5540.31,2026-05-22T17:08:16,2026-05-22T18:40:37,,,,samples/CreditCycle/LLM/config/simulation.yml,examples/CreditCycle/LLM/run_creditcycle_llm.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
CreditCycle__RuleLLM,CreditCycle,RuleLLM,runtime_success_full_200_level2_audited,samples/CreditCycle/RuleLLM,samples/CreditCycle/RuleLLM,configured_full,3030.215,2026-05-23T19:12:39,2026-05-23T20:03:09,,,,samples/CreditCycle/RuleLLM/config/simulation.yml,examples/CreditCycle/RuleLLM/run_creditcycle_rulellm.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
CreditCycle__Rag,CreditCycle,Rag,runtime_success_full_200_level2_audited,samples/CreditCycle/Rag,samples/CreditCycle/Rag,configured_full,3870.267,2026-05-23T16:22:04,2026-05-23T17:26:35,,,,samples/CreditCycle/Rag/config/simulation.yml,examples/CreditCycle/Rag/run_creditcycle_rag.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
CurrencyCrisis__Rule,CurrencyCrisis,Rule,runtime_success_full_200_level2_audited,samples/CurrencyCrisis/Rule,samples/CurrencyCrisis/Rule,configured_full,40.003,2026-05-22T03:43:02,2026-05-22T03:43:42,,,,samples/CurrencyCrisis/Rule/config/simulation.yml,examples/CurrencyCrisis/Rule/run_currencycrisis.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
CurrencyCrisis__LLM,CurrencyCrisis,LLM,runtime_success_full_200_level2_audited,samples/CurrencyCrisis/LLM,samples/CurrencyCrisis/LLM,configured_full,7210.539,2026-05-23T20:03:19,2026-05-23T22:03:29,,,,samples/CurrencyCrisis/LLM/config/simulation.yml,examples/CurrencyCrisis/LLM/run_currencycrisis_llm.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
CurrencyCrisis__RuleLLM,CurrencyCrisis,RuleLLM,runtime_success_full_200_level2_audited,samples/CurrencyCrisis/RuleLLM,samples/CurrencyCrisis/RuleLLM,configured_full,30351.958,2026-05-22T05:00:45,2026-05-22T13:26:37,,,,samples/CurrencyCrisis/RuleLLM/config/simulation.yml,examples/CurrencyCrisis/RuleLLM/run_currencycrisis_rulellm.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
CurrencyCrisis__Rag,CurrencyCrisis,Rag,runtime_success_full_200_level2_audited,samples/CurrencyCrisis/Rag,samples/CurrencyCrisis/Rag,configured_full,20461.355,2026-05-22T05:08:15,2026-05-22T10:49:16,,,,samples/CurrencyCrisis/Rag/config/simulation.yml,examples/CurrencyCrisis/Rag/run_currencycrisis_rag.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
DispositionEffect__Rule,DispositionEffect,Rule,runtime_success_full_200_level2_audited,samples/DispositionEffect/Rule,samples/DispositionEffect/Rule,configured_full,280.012,2026-05-22T03:43:42,2026-05-22T03:48:22,,,,samples/DispositionEffect/Rule/config/simulation.yml,examples/DispositionEffect/Rule/run_disposition.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
DispositionEffect__LLM,DispositionEffect,LLM,runtime_success_full_200_level2_audited,samples/DispositionEffect/LLM,samples/DispositionEffect/LLM,configured_full,16946.643,2026-05-22T05:00:13,2026-05-22T09:42:40,,,,samples/DispositionEffect/LLM/config/simulation.yml,examples/DispositionEffect/LLM/run_disposition_llm.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
DispositionEffect__RuleLLM,DispositionEffect,RuleLLM,runtime_success_full_200_level2_audited,samples/DispositionEffect/RuleLLM,samples/DispositionEffect/RuleLLM,configured_full,8300.585,2026-05-22T13:26:37,2026-05-22T15:44:57,,,,samples/DispositionEffect/RuleLLM/config/simulation.yml,examples/DispositionEffect/RuleLLM/run_disposition_rulellm.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
DispositionEffect__Rag,DispositionEffect,Rag,runtime_success_full_200_level2_audited,samples/DispositionEffect/Rag,samples/DispositionEffect/Rag,configured_full,4730.773,2026-05-23T01:27:38,2026-05-23T02:46:29,,,,samples/DispositionEffect/Rag/config/simulation.yml,examples/DispositionEffect/Rag/run_disposition_rag.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
DotComBubble__Rule,DotComBubble,Rule,runtime_success_full_200_level2_audited,samples/DotComBubble/Rule,samples/DotComBubble/Rule,configured_full,40.004,2026-05-22T03:48:22,2026-05-22T03:49:02,,,,samples/DotComBubble/Rule/config/simulation.yml,examples/DotComBubble/Rule/run_dotcombubble.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
DotComBubble__LLM,DotComBubble,LLM,runtime_success_full_200_level2_audited,samples/DotComBubble/LLM,samples/DotComBubble/LLM,configured_full,4060.274,2026-05-23T16:20:26,2026-05-23T17:28:06,,,,samples/DotComBubble/LLM/config/simulation.yml,examples/DotComBubble/LLM/run_dotcombubble_llm.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
DotComBubble__RuleLLM,DotComBubble,RuleLLM,runtime_success_full_200_level2_audited,samples/DotComBubble/RuleLLM,samples/DotComBubble/RuleLLM,configured_full,8260.548,2026-05-22T15:44:57,2026-05-22T18:02:38,,,,samples/DotComBubble/RuleLLM/config/simulation.yml,examples/DotComBubble/RuleLLM/run_dotcombubble_rulellm.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
DotComBubble__Rag,DotComBubble,Rag,runtime_success_full_200_level2_audited,samples/DotComBubble/Rag,samples/DotComBubble/Rag,configured_full,6750.476,2026-05-23T17:26:44,2026-05-23T19:19:15,,,,samples/DotComBubble/Rag/config/simulation.yml,examples/DotComBubble/Rag/run_dotcombubble_rag.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
EchoChamber__Rule,EchoChamber,Rule,runtime_success_full_200_level2_audited,samples/EchoChamber/Rule,samples/EchoChamber/Rule,configured_full,80.005,2026-05-22T03:49:02,2026-05-22T03:50:22,,,,samples/EchoChamber/Rule/config/simulation.yml,examples/EchoChamber/Rule/run_echo_chamber.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
EchoChamber__LLM,EchoChamber,LLM,runtime_success_full_200_level2_audited,samples/EchoChamber/LLM,samples/EchoChamber/LLM,configured_full,4460.326,2026-05-22T09:47:00,2026-05-22T11:01:20,,,,samples/EchoChamber/LLM/config/simulation.yml,examples/EchoChamber/LLM/run_echo_chamber_llm.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
EchoChamber__RuleLLM,EchoChamber,RuleLLM,runtime_success_full_200_level2_audited,samples/EchoChamber/RuleLLM,samples/EchoChamber/RuleLLM,configured_full,5820.422,2026-05-22T18:02:38,2026-05-22T19:39:38,,,,samples/EchoChamber/RuleLLM/config/simulation.yml,examples/EchoChamber/RuleLLM/run_echo_chamber_rulellm.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
EchoChamber__Rag,EchoChamber,Rag,runtime_success_full_200_level2_audited,samples/EchoChamber/Rag,samples/EchoChamber/Rag,configured_full,9530.682,2026-05-22T11:33:26,2026-05-22T14:12:17,,,,samples/EchoChamber/Rag/config/simulation.yml,examples/EchoChamber/Rag/run_echochamber_rag.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
EndowmentEffect__Rule,EndowmentEffect,Rule,runtime_success_full_200_level2_audited,samples/EndowmentEffect/Rule,samples/EndowmentEffect/Rule,configured_full,60.005,2026-05-22T03:50:22,2026-05-22T03:51:22,,,,samples/EndowmentEffect/Rule/config/simulation.yml,examples/EndowmentEffect/Rule/run_endowmenteffect.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
EndowmentEffect__LLM,EndowmentEffect,LLM,runtime_success_full_200_level2_audited,samples/EndowmentEffect/LLM,samples/EndowmentEffect/LLM,configured_full,10600.772,2026-05-22T11:01:20,2026-05-22T13:58:01,,,,samples/EndowmentEffect/LLM/config/simulation.yml,examples/EndowmentEffect/LLM/run_endowmenteffect_llm.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
EndowmentEffect__RuleLLM,EndowmentEffect,RuleLLM,runtime_success_full_200_level2_audited,samples/EndowmentEffect/RuleLLM,samples/EndowmentEffect/RuleLLM,configured_full,4580.332,2026-05-22T19:39:38,2026-05-22T20:55:59,,,,samples/EndowmentEffect/RuleLLM/config/simulation.yml,examples/EndowmentEffect/RuleLLM/run_endowmenteffect_rulellm.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
EndowmentEffect__Rag,EndowmentEffect,Rag,runtime_success_full_200_level2_audited,samples/EndowmentEffect/Rag,samples/EndowmentEffect/Rag,configured_full,5770.405,2026-05-22T14:12:17,2026-05-22T15:48:27,,,,samples/EndowmentEffect/Rag/config/simulation.yml,examples/EndowmentEffect/Rag/run_endowmenteffect_rag.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
