sample_id,scenario,mechanism,agent,total_rag_rounds,retrieval_success_rounds,retrieval_failure_rounds,retrieval_failure_rate,mean_retrieval_failure_rate,max_retrieval_failure_rate
HindsightBias__Rag,HindsightBias,Rag,retrieval_success_rate,,,,,,
LiquidityDryup__Rag,LiquidityDryup,Rag,aggregate,,,,,0.0,0.0
LiquidityDryup__Rag,LiquidityDryup,Rag,ragllm_arbitrageur_1,200,200,0,0.0,,
LiquidityDryup__Rag,LiquidityDryup,Rag,ragllm_arbitrageur_2,200,200,0,0.0,,
LiquidityDryup__Rag,LiquidityDryup,Rag,ragllm_forced_seller_1,200,200,0,0.0,,
LiquidityDryup__Rag,LiquidityDryup,Rag,ragllm_forced_seller_2,200,200,0,0.0,,
LiquidityDryup__Rag,LiquidityDryup,Rag,ragllm_liquidity_demander_1,200,200,0,0.0,,
LiquidityDryup__Rag,LiquidityDryup,Rag,ragllm_liquidity_demander_2,200,200,0,0.0,,
LiquidityDryup__Rag,LiquidityDryup,Rag,ragllm_liquidity_demander_3,200,200,0,0.0,,
LiquidityDryup__Rag,LiquidityDryup,Rag,ragllm_market_maker_1,200,200,0,0.0,,
LiquidityDryup__Rag,LiquidityDryup,Rag,ragllm_market_maker_2,200,200,0,0.0,,
LiquidityDryup__Rag,LiquidityDryup,Rag,ragllm_market_maker_3,200,200,0,0.0,,
LiquidityDryup__Rag,LiquidityDryup,Rag,ragllm_value_1,200,200,0,0.0,,
LiquidityDryup__Rag,LiquidityDryup,Rag,ragllm_value_2,200,200,0,0.0,,
LossAversion__Rag,LossAversion,Rag,aggregate,2200,2200,,,,
LossAversion__Rag,LossAversion,Rag,per_agent,,,,,,
MarketCrash__Rag,MarketCrash,Rag,aggregate,,,,,0.0,0.0
MarketCrash__Rag,MarketCrash,Rag,ragllm_bottom_fisher,200,200,0,0.0,,
MarketCrash__Rag,MarketCrash,Rag,ragllm_leveraged_fund_1,200,200,0,0.0,,
MarketCrash__Rag,MarketCrash,Rag,ragllm_leveraged_fund_2,200,200,0,0.0,,
MarketCrash__Rag,MarketCrash,Rag,ragllm_leveraged_fund_3,200,200,0,0.0,,
MarketCrash__Rag,MarketCrash,Rag,ragllm_market_maker_1,200,200,0,0.0,,
MarketCrash__Rag,MarketCrash,Rag,ragllm_market_maker_2,200,200,0,0.0,,
MarketCrash__Rag,MarketCrash,Rag,ragllm_panic_seller_1,200,200,0,0.0,,
MarketCrash__Rag,MarketCrash,Rag,ragllm_panic_seller_2,200,200,0,0.0,,
MarketCrash__Rag,MarketCrash,Rag,ragllm_panic_seller_3,200,200,0,0.0,,
MarketCrash__Rag,MarketCrash,Rag,ragllm_risk_parity_1,200,200,0,0.0,,
MarketCrash__Rag,MarketCrash,Rag,ragllm_risk_parity_2,200,200,0,0.0,,
MentalAccounting__Rag,MentalAccounting,Rag,aggregate,,,,,0.0,0.0
MentalAccounting__Rag,MentalAccounting,Rag,housemoneytrader_1,200,200,0,0.0,,
MentalAccounting__Rag,MentalAccounting,Rag,housemoneytrader_2,200,200,0,0.0,,
MentalAccounting__Rag,MentalAccounting,Rag,mentalaccountant_1,200,200,0,0.0,,
MentalAccounting__Rag,MentalAccounting,Rag,mentalaccountant_2,200,200,0,0.0,,
MentalAccounting__Rag,MentalAccounting,Rag,noisetrader_1,200,200,0,0.0,,
MentalAccounting__Rag,MentalAccounting,Rag,noisetrader_2,200,200,0,0.0,,
MentalAccounting__Rag,MentalAccounting,Rag,rationalportfoliomanager,200,200,0,0.0,,
MentalAccounting__Rag,MentalAccounting,Rag,sunkcostholder_1,200,200,0,0.0,,
MentalAccounting__Rag,MentalAccounting,Rag,sunkcostholder_2,200,200,0,0.0,,
MomentumEffect__Rag,MomentumEffect,Rag,aggregate,,,,,0.0,0.0
MomentumEffect__Rag,MomentumEffect,Rag,ragllm_contrarian_1,200,200,0,0.0,,
MomentumEffect__Rag,MomentumEffect,Rag,ragllm_contrarian_2,200,200,0,0.0,,
MomentumEffect__Rag,MomentumEffect,Rag,ragllm_fundamental_1,200,200,0,0.0,,
MomentumEffect__Rag,MomentumEffect,Rag,ragllm_fundamental_2,200,200,0,0.0,,
MomentumEffect__Rag,MomentumEffect,Rag,ragllm_momentum_trader_1,200,200,0,0.0,,
MomentumEffect__Rag,MomentumEffect,Rag,ragllm_momentum_trader_2,200,200,0,0.0,,
MomentumEffect__Rag,MomentumEffect,Rag,ragllm_momentum_trader_3,200,200,0,0.0,,
MomentumEffect__Rag,MomentumEffect,Rag,ragllm_technical_1,200,200,0,0.0,,
MomentumEffect__Rag,MomentumEffect,Rag,ragllm_technical_2,200,200,0,0.0,,
